    B_DTF_K2P_Jpsi_PE                                                                                   Float_t                                 
    B_DTF_K2P_Jpsi_PERR                                                                                 Double_t                                
    B_DTF_K2P_Jpsi_PX                                                                                   Float_t                                 
    B_DTF_K2P_Jpsi_PY                                                                                   Float_t                                 
    B_DTF_K2P_Jpsi_PZ                                                                                   Float_t                                 
    B_DTF_K2P_MASS                                                                                      Double_t                                
    B_DTF_K2P_MASSERR                                                                                   Double_t                                
    B_DTF_K2P_NDOF                                                                                      Int_t                                   
    B_DTF_K2P_NITER                                                                                     Int_t                                   
    B_DTF_K2P_P                                                                                         Double_t                                
    B_DTF_K2P_PE                                                                                        Float_t                                 
    B_DTF_K2P_PERR                                                                                      Double_t                                
    B_DTF_K2P_PX                                                                                        Float_t                                 
    B_DTF_K2P_PY                                                                                        Float_t                                 
    B_DTF_K2P_PZ                                                                                        Float_t                                 
    B_DTF_K2P_Psi2S_CHI2                                                                                Double_t                                
    B_DTF_K2P_Psi2S_CHI2DOF                                                                             Double_t                                
    B_DTF_K2P_Psi2S_CTAU                                                                                Double_t                                
    B_DTF_K2P_Psi2S_CTAUERR                                                                             Double_t                                
    B_DTF_K2P_Psi2S_FD                                                                                  Double_t                                
    B_DTF_K2P_Psi2S_FDERR                                                                               Double_t                                
    B_DTF_K2P_Psi2S_MASS                                                                                Double_t                                
    B_DTF_K2P_Psi2S_MASSERR                                                                             Double_t                                
    B_DTF_K2P_Psi2S_NDOF                                                                                Int_t                                   
    B_DTF_K2P_Psi2S_NITER                                                                               Int_t                                   
    B_DTF_K2P_Psi2S_P                                                                                   Double_t                                
    B_DTF_K2P_Psi2S_PE                                                                                  Float_t                                 
    B_DTF_K2P_Psi2S_PERR                                                                                Double_t                                
    B_DTF_K2P_Psi2S_PX                                                                                  Float_t                                 
    B_DTF_K2P_Psi2S_PY                                                                                  Float_t                                 
    B_DTF_K2P_Psi2S_PZ                                                                                  Float_t                                 
    B_DTF_K2Pi_CHI2                                                                                     Double_t                                
    B_DTF_K2Pi_CHI2DOF                                                                                  Double_t                                
    B_DTF_K2Pi_CTAU                                                                                     Double_t                                
    B_DTF_K2Pi_CTAUERR                                                                                  Double_t                                
    B_DTF_K2Pi_FD                                                                                       Double_t                                
    B_DTF_K2Pi_FDERR                                                                                    Double_t                                
    B_DTF_K2Pi_Jpsi_CHI2                                                                                Double_t                                
    B_DTF_K2Pi_Jpsi_CHI2DOF                                                                             Double_t                                
    B_DTF_K2Pi_Jpsi_CTAU                                                                                Double_t                                
    B_DTF_K2Pi_Jpsi_CTAUERR                                                                             Double_t                                
    B_DTF_K2Pi_Jpsi_FD                                                                                  Double_t                                
    B_DTF_K2Pi_Jpsi_FDERR                                                                               Double_t                                
