runid,fillid,starttime
299383,9832,2024-06-27 14:31:06+00:00
299381,9832,2024-06-27 14:26:50+00:00
299378,9832,2024-06-27 13:50:33+00:00
299377,9832,2024-06-27 13:48:37+00:00
299350,9831,2024-06-27 04:25:53+00:00
299348,9831,2024-06-27 03:25:42+00:00
299346,9831,2024-06-27 02:25:34+00:00
299344,9831,2024-06-27 01:34:48+00:00
299343,9830,2024-06-27 00:50:31+00:00
299341,9830,2024-06-26 23:50:28+00:00
299259,9826,
299258,9826,
299257,9826,
299147,9819,2024-06-24 05:45:10+00:00
299146,9819,2024-06-24 05:38:31+00:00
299145,9819,2024-06-24 05:21:04+00:00
299144,9819,2024-06-24 05:16:28+00:00
299143,9819,2024-06-24 04:57:11+00:00
299142,9819,2024-06-24 04:34:21+00:00
299141,9819,2024-06-24 04:30:28+00:00
299140,9819,2024-06-24 04:13:34+00:00
299139,9819,2024-06-24 04:10:26+00:00
299138,9819,2024-06-24 04:06:20+00:00
299137,9819,2024-06-24 04:04:21+00:00
299136,9819,2024-06-24 03:19:08+00:00
299135,9819,2024-06-24 02:47:13+00:00
299134,9819,2024-06-24 02:42:45+00:00
299133,9819,2024-06-24 02:29:03+00:00
299132,9819,2024-06-24 01:44:01+00:00
299131,9819,2024-06-24 01:25:18+00:00
299130,9819,2024-06-24 00:25:11+00:00
299129,9819,2024-06-24 00:01:13+00:00
299128,9819,2024-06-23 23:48:16+00:00
299127,9819,2024-06-23 22:54:33+00:00
299126,9819,2024-06-23 22:52:12+00:00
299125,9819,2024-06-23 22:29:01+00:00
299124,9819,2024-06-23 22:14:50+00:00
299123,9819,2024-06-23 21:46:08+00:00
299122,9819,2024-06-23 21:42:39+00:00
299121,9819,2024-06-23 21:41:14+00:00
299120,9819,2024-06-23 21:34:20+00:00
299119,9819,
299118,9819,
299113,9819,2024-06-23 20:37:23+00:00
299112,9819,2024-06-23 20:28:33+00:00
299111,9819,2024-06-23 20:24:57+00:00
299110,9819,2024-06-23 20:22:47+00:00
299109,9819,2024-06-23 19:45:54+00:00
299107,9819,2024-06-23 19:26:01+00:00
299105,9819,2024-06-23 19:22:49+00:00
299104,9819,2024-06-23 18:31:16+00:00
